Date,StatusKey,Code,StatusKey
2022-10-01,acw,ATL Ops Sup 5,65
2022-10-01,acw,ATL Ops Sup 6,41
2022-10-01,acw,ATL Ops Sup 7,100
2022-10-01,at lunch,ATL Ops Sup 5,13
2022-10-01,at lunch,ATL Ops Sup 6,3
2022-10-01,at lunch,ATL Ops Sup 7,12
2022-10-01,escalation wait,ATL Ops Sup 5,5
2022-10-01,escalation wait,ATL Ops Sup 6,5
2022-10-01,escalation wait,ATL Ops Sup 7,4
2022-10-01,follow up,ATL Ops Sup 5,74
2022-10-01,follow up,ATL Ops Sup 6,42
2022-10-01,follow up,ATL Ops Sup 7,86
2022-10-01,on call,ATL Ops Sup 5,95
2022-10-01,on call,ATL Ops Sup 6,50
2022-10-01,on call,ATL Ops Sup 7,100
2022-10-01,personal break,ATL Ops Sup 5,2
2022-10-01,personal break,ATL Ops Sup 6,2
2022-10-01,personal break,ATL Ops Sup 7,6
2022-10-01,scheduled break,ATL Ops Sup 5,23
2022-10-01,scheduled break,ATL Ops Sup 6,11
2022-10-01,scheduled break,ATL Ops Sup 7,16
2022-10-01,special assignment,ATL Ops Sup 5,4
2022-10-01,special assignment,ATL Ops Sup 6,2
2022-10-01,tc issues,ATL Ops Sup 5,14
2022-10-01,tc issues,ATL Ops Sup 6,16
2022-10-01,tc issues,ATL Ops Sup 7,2
2022-10-02,acw,ATL Ops Sup 5,24
2022-10-02,acw,ATL Ops Sup 6,22
2022-10-02,acw,ATL Ops Sup 7,51
2022-10-02,at lunch,ATL Ops Sup 5,12
2022-10-02,at lunch,ATL Ops Sup 6,3
2022-10-02,at lunch,ATL Ops Sup 7,7
2022-10-02,escalation wait,ATL Ops Sup 5,1
2022-10-02,escalation wait,ATL Ops Sup 7,2
2022-10-02,follow up,ATL Ops Sup 5,39
2022-10-02,follow up,ATL Ops Sup 6,15
2022-10-02,follow up,ATL Ops Sup 7,44
2022-10-02,in a meeting,ATL Ops Sup 7,1
2022-10-02,on call,ATL Ops Sup 5,39
2022-10-02,on call,ATL Ops Sup 6,22
2022-10-02,on call,ATL Ops Sup 7,59
2022-10-02,personal break,ATL Ops Sup 5,3
2022-10-02,personal break,ATL Ops Sup 6,1
2022-10-02,personal break,ATL Ops Sup 7,3
2022-10-02,scheduled break,ATL Ops Sup 5,16
2022-10-02,scheduled break,ATL Ops Sup 6,9
2022-10-02,scheduled break,ATL Ops Sup 7,17
2022-10-02,tc issues,ATL Ops Sup 5,1
2022-10-03,acw,ATL Ops Sup 5,174
2022-10-03,acw,ATL Ops Sup 6,252
2022-10-03,acw,ATL Ops Sup 7,173
2022-10-03,at lunch,ATL Ops Sup 5,14
2022-10-03,at lunch,ATL Ops Sup 6,10
2022-10-03,at lunch,ATL Ops Sup 7,14
2022-10-03,escalation wait,ATL Ops Sup 5,19
2022-10-03,escalation wait,ATL Ops Sup 6,12
2022-10-03,escalation wait,ATL Ops Sup 7,7
2022-10-03,follow up,ATL Ops Sup 5,141
2022-10-03,follow up,ATL Ops Sup 6,187
2022-10-03,follow up,ATL Ops Sup 7,125
2022-10-03,in a meeting,ATL Ops Sup 5,3
2022-10-03,in a meeting,ATL Ops Sup 7,2
2022-10-03,on call,ATL Ops Sup 5,209
2022-10-03,on call,ATL Ops Sup 6,254
2022-10-03,on call,ATL Ops Sup 7,186
2022-10-03,personal break,ATL Ops Sup 5,5
2022-10-03,personal break,ATL Ops Sup 6,5
2022-10-03,personal break,ATL Ops Sup 7,7
2022-10-03,scheduled break,ATL Ops Sup 5,30
2022-10-03,scheduled break,ATL Ops Sup 6,29
2022-10-03,scheduled break,ATL Ops Sup 7,29
2022-10-03,special assignment,ATL Ops Sup 5,6
2022-10-03,special assignment,ATL Ops Sup 6,4
2022-10-03,system issues,ATL Ops Sup 5,1
2022-10-03,system issues,ATL Ops Sup 7,1
2022-10-03,tc issues,ATL Ops Sup 5,15
2022-10-03,tc issues,ATL Ops Sup 6,19
2022-10-03,tc issues,ATL Ops Sup 7,14
2022-10-04,acw,ATL Ops Sup 5,150
2022-10-04,acw,ATL Ops Sup 6,282
2022-10-04,acw,ATL Ops Sup 7,281
2022-10-04,at a training session,ATL Ops Sup 5,2
2022-10-04,at lunch,ATL Ops Sup 5,15
2022-10-04,at lunch,ATL Ops Sup 6,16
2022-10-04,at lunch,ATL Ops Sup 7,20
2022-10-04,escalation wait,ATL Ops Sup 5,13
2022-10-04,escalation wait,ATL Ops Sup 6,13
2022-10-04,escalation wait,ATL Ops Sup 7,13
2022-10-04,follow up,ATL Ops Sup 5,135
2022-10-04,follow up,ATL Ops Sup 6,208
2022-10-04,follow up,ATL Ops Sup 7,186
2022-10-04,in a meeting,ATL Ops Sup 5,2
2022-10-04,in a meeting,ATL Ops Sup 7,1
2022-10-04,on call,ATL Ops Sup 5,183
2022-10-04,on call,ATL Ops Sup 6,282
2022-10-04,on call,ATL Ops Sup 7,284
2022-10-04,personal break,ATL Ops Sup 5,6
2022-10-04,personal break,ATL Ops Sup 6,7
2022-10-04,personal break,ATL Ops Sup 7,14
2022-10-04,scheduled break,ATL Ops Sup 5,27
2022-10-04,scheduled break,ATL Ops Sup 6,29
2022-10-04,scheduled break,ATL Ops Sup 7,38
2022-10-04,special assignment,ATL Ops Sup 5,2
2022-10-04,special assignment,ATL Ops Sup 6,1
2022-10-04,system issues,ATL Ops Sup 5,5
2022-10-04,system issues,ATL Ops Sup 7,4
2022-10-04,tc issues,ATL Ops Sup 5,5
2022-10-04,tc issues,ATL Ops Sup 6,3
2022-10-04,tc issues,ATL Ops Sup 7,5
2022-10-05,acw,ATL Ops Sup 5,211
2022-10-05,acw,ATL Ops Sup 6,232
2022-10-05,acw,ATL Ops Sup 7,220
2022-10-05,at a training session,ATL Ops Sup 7,2
2022-10-05,at lunch,ATL Ops Sup 5,21
2022-10-05,at lunch,ATL Ops Sup 6,16
2022-10-05,at lunch,ATL Ops Sup 7,19
2022-10-05,coaching,ATL Ops Sup 5,1
2022-10-05,coaching,ATL Ops Sup 7,1
2022-10-05,escalation wait,ATL Ops Sup 5,16
2022-10-05,escalation wait,ATL Ops Sup 6,5
2022-10-05,escalation wait,ATL Ops Sup 7,7
2022-10-05,follow up,ATL Ops Sup 5,198
2022-10-05,follow up,ATL Ops Sup 6,172
2022-10-05,follow up,ATL Ops Sup 7,156
2022-10-05,in a meeting,ATL Ops Sup 5,2
2022-10-05,in a meeting,ATL Ops Sup 6,3
2022-10-05,in a meeting,ATL Ops Sup 7,1
2022-10-05,on call,ATL Ops Sup 5,257
2022-10-05,on call,ATL Ops Sup 6,223
2022-10-05,on call,ATL Ops Sup 7,240
2022-10-05,personal break,ATL Ops Sup 5,9
2022-10-05,personal break,ATL Ops Sup 6,5
2022-10-05,personal break,ATL Ops Sup 7,8
2022-10-05,scheduled break,ATL Ops Sup 5,35
2022-10-05,scheduled break,ATL Ops Sup 6,25
2022-10-05,scheduled break,ATL Ops Sup 7,34
2022-10-05,special assignment,ATL Ops Sup 5,7
2022-10-05,system issues,ATL Ops Sup 5,1
2022-10-05,system issues,ATL Ops Sup 7,3
2022-10-05,tc issues,ATL Ops Sup 5,20
2022-10-05,tc issues,ATL Ops Sup 6,17
2022-10-05,tc issues,ATL Ops Sup 7,19
2022-10-06,acw,ATL Ops Sup 5,202
2022-10-06,acw,ATL Ops Sup 6,243
2022-10-06,acw,ATL Ops Sup 7,256
2022-10-06,at a training session,ATL Ops Sup 5,1
2022-10-06,at lunch,ATL Ops Sup 5,21
2022-10-06,at lunch,ATL Ops Sup 6,15
2022-10-06,at lunch,ATL Ops Sup 7,18
2022-10-06,escalation wait,ATL Ops Sup 5,18
2022-10-06,escalation wait,ATL Ops Sup 6,13
2022-10-06,escalation wait,ATL Ops Sup 7,5
2022-10-06,follow up,ATL Ops Sup 5,193
2022-10-06,follow up,ATL Ops Sup 6,166
2022-10-06,follow up,ATL Ops Sup 7,167
2022-10-06,in a meeting,ATL Ops Sup 5,2
2022-10-06,in a meeting,ATL Ops Sup 6,4
2022-10-06,in a meeting,ATL Ops Sup 7,1
2022-10-06,on call,ATL Ops Sup 5,253
2022-10-06,on call,ATL Ops Sup 6,235
2022-10-06,on call,ATL Ops Sup 7,277
2022-10-06,personal break,ATL Ops Sup 5,10
2022-10-06,personal break,ATL Ops Sup 6,12
2022-10-06,personal break,ATL Ops Sup 7,14
2022-10-06,scheduled break,ATL Ops Sup 5,38
2022-10-06,scheduled break,ATL Ops Sup 6,29
2022-10-06,scheduled break,ATL Ops Sup 7,37
2022-10-06,special assignment,ATL Ops Sup 5,4
2022-10-06,special assignment,ATL Ops Sup 6,4
2022-10-06,tc issues,ATL Ops Sup 5,17
2022-10-06,tc issues,ATL Ops Sup 6,22
2022-10-06,tc issues,ATL Ops Sup 7,19
2022-10-07,acw,ATL Ops Sup 5,184
2022-10-07,acw,ATL Ops Sup 6,166
2022-10-07,acw,ATL Ops Sup 7,279
2022-10-07,at a training session,ATL Ops Sup 6,1
2022-10-07,at lunch,ATL Ops Sup 5,14
2022-10-07,at lunch,ATL Ops Sup 6,8
2022-10-07,at lunch,ATL Ops Sup 7,18
2022-10-07,coaching,ATL Ops Sup 7,1
2022-10-07,escalation wait,ATL Ops Sup 5,9
2022-10-07,escalation wait,ATL Ops Sup 6,5
2022-10-07,escalation wait,ATL Ops Sup 7,14
2022-10-07,follow up,ATL Ops Sup 5,173
2022-10-07,follow up,ATL Ops Sup 6,120
2022-10-07,follow up,ATL Ops Sup 7,202
2022-10-07,in a meeting,ATL Ops Sup 7,5
2022-10-07,on call,ATL Ops Sup 5,228
2022-10-07,on call,ATL Ops Sup 6,171
2022-10-07,on call,ATL Ops Sup 7,302
2022-10-07,personal break,ATL Ops Sup 5,7
2022-10-07,personal break,ATL Ops Sup 6,5
2022-10-07,personal break,ATL Ops Sup 7,10
2022-10-07,scheduled break,ATL Ops Sup 5,26
2022-10-07,scheduled break,ATL Ops Sup 6,15
2022-10-07,scheduled break,ATL Ops Sup 7,35
2022-10-07,special assignment,ATL Ops Sup 5,6
2022-10-07,tc issues,ATL Ops Sup 5,2
2022-10-07,tc issues,ATL Ops Sup 6,5
2022-10-07,tc issues,ATL Ops Sup 7,7
2022-10-08,acw,ATL Ops Sup 5,79
2022-10-08,acw,ATL Ops Sup 6,22
2022-10-08,acw,ATL Ops Sup 7,112
2022-10-08,at lunch,ATL Ops Sup 5,14
2022-10-08,at lunch,ATL Ops Sup 6,2
2022-10-08,at lunch,ATL Ops Sup 7,12
2022-10-08,escalation wait,ATL Ops Sup 5,6
2022-10-08,escalation wait,ATL Ops Sup 7,6
2022-10-08,follow up,ATL Ops Sup 5,94
2022-10-08,follow up,ATL Ops Sup 6,9
2022-10-08,follow up,ATL Ops Sup 7,82
2022-10-08,on call,ATL Ops Sup 5,114
2022-10-08,on call,ATL Ops Sup 6,25
2022-10-08,on call,ATL Ops Sup 7,110
2022-10-08,personal break,ATL Ops Sup 5,1
2022-10-08,personal break,ATL Ops Sup 6,4
2022-10-08,personal break,ATL Ops Sup 7,5
2022-10-08,scheduled break,ATL Ops Sup 5,18
2022-10-08,scheduled break,ATL Ops Sup 6,4
2022-10-08,scheduled break,ATL Ops Sup 7,19
2022-10-08,special assignment,ATL Ops Sup 5,6
2022-10-08,special assignment,ATL Ops Sup 6,2
2022-10-08,system issues,ATL Ops Sup 5,1
2022-10-08,tc issues,ATL Ops Sup 5,6
2022-10-08,tc issues,ATL Ops Sup 6,5
2022-10-08,tc issues,ATL Ops Sup 7,5
2022-10-09,acw,ATL Ops Sup 5,39
2022-10-09,acw,ATL Ops Sup 6,12
2022-10-09,acw,ATL Ops Sup 7,63
2022-10-09,at lunch,ATL Ops Sup 5,11
2022-10-09,at lunch,ATL Ops Sup 6,2
2022-10-09,at lunch,ATL Ops Sup 7,4
2022-10-09,escalation wait,ATL Ops Sup 5,2
2022-10-09,follow up,ATL Ops Sup 5,47
2022-10-09,follow up,ATL Ops Sup 6,3
2022-10-09,follow up,ATL Ops Sup 7,41
2022-10-09,on call,ATL Ops Sup 5,53
2022-10-09,on call,ATL Ops Sup 6,11
2022-10-09,on call,ATL Ops Sup 7,53
2022-10-09,personal break,ATL Ops Sup 6,2
2022-10-09,personal break,ATL Ops Sup 7,4
2022-10-09,scheduled break,ATL Ops Sup 5,17
2022-10-09,scheduled break,ATL Ops Sup 6,3
2022-10-09,scheduled break,ATL Ops Sup 7,12
2022-10-09,tc issues,ATL Ops Sup 5,4
2022-10-10,acw,ATL Ops Sup 5,151
2022-10-10,acw,ATL Ops Sup 6,271
2022-10-10,acw,ATL Ops Sup 7,218
2022-10-10,at a training session,ATL Ops Sup 5,1
2022-10-10,at a training session,ATL Ops Sup 6,1
2022-10-10,at lunch,ATL Ops Sup 5,12
2022-10-10,at lunch,ATL Ops Sup 6,16
