MDate,nEnteredAcd,Start,Req,Sch,Net,Period,PeriodM
3/1/2022 0:00,7,3/1/2022 0:00,2.76,3,0.24,3/1/2022 0:00,0:00:00
3/1/2022 0:15,5,3/1/2022 0:15,4.02,3,-1.02,3/1/2022 0:15,0:15:00
3/1/2022 0:30,5,3/1/2022 0:30,2.71,3,0.29,3/1/2022 0:30,0:30:00
3/1/2022 0:45,5,3/1/2022 0:45,2.1,2.2,0.1,3/1/2022 0:45,0:45:00
3/1/2022 1:00,4,3/1/2022 1:00,2.71,3,0.29,3/1/2022 1:00,1:00:00
3/1/2022 1:15,3,3/1/2022 1:15,2.71,2,-0.71,3/1/2022 1:15,1:15:00
3/1/2022 1:30,3,3/1/2022 1:30,0,2,2,3/1/2022 1:30,1:30:00
3/1/2022 1:45,4,3/1/2022 1:45,2.71,2,-0.71,3/1/2022 1:45,1:45:00
3/1/2022 2:00,2,3/1/2022 2:00,0,3,3,3/1/2022 2:00,2:00:00
3/1/2022 2:15,3,3/1/2022 2:15,0,3,3,3/1/2022 2:15,2:15:00
3/1/2022 2:30,3,3/1/2022 2:30,0,2,2,3/1/2022 2:30,2:30:00
3/1/2022 2:45,3,3/1/2022 2:45,0,3,3,3/1/2022 2:45,2:45:00
3/1/2022 3:00,3,3/1/2022 3:00,0,3,3,3/1/2022 3:00,3:00:00
3/1/2022 3:15,3,3/1/2022 3:15,0,3,3,3/1/2022 3:15,3:15:00
3/1/2022 3:30,5,3/1/2022 3:30,0,3,3,3/1/2022 3:30,3:30:00
3/1/2022 3:45,4,3/1/2022 3:45,2.71,3,0.29,3/1/2022 3:45,3:45:00
3/1/2022 4:00,2,3/1/2022 4:00,1.23,1.67,0.44,3/1/2022 4:00,4:00:00
3/1/2022 4:15,2,3/1/2022 4:15,0,2,2,3/1/2022 4:15,4:15:00
3/1/2022 4:30,4,3/1/2022 4:30,0,2,2,3/1/2022 4:30,4:30:00
3/1/2022 4:45,2,3/1/2022 4:45,0,2,2,3/1/2022 4:45,4:45:00
3/1/2022 5:00,4,3/1/2022 5:00,0,1,1,3/1/2022 5:00,5:00:00
3/1/2022 5:15,3,3/1/2022 5:15,2.23,1.27,-0.96,3/1/2022 5:15,5:15:00
3/1/2022 5:30,2,3/1/2022 5:30,0,1.67,1.67,3/1/2022 5:30,5:30:00
3/1/2022 5:45,2,3/1/2022 5:45,2.23,4.67,2.44,3/1/2022 5:45,5:45:00
3/1/2022 6:00,2,3/1/2022 6:00,1.92,5,3.08,3/1/2022 6:00,6:00:00
3/1/2022 6:15,4,3/1/2022 6:15,2.23,5,2.77,3/1/2022 6:15,6:15:00
3/1/2022 6:30,4,3/1/2022 6:30,2.23,5,2.77,3/1/2022 6:30,6:30:00
3/1/2022 6:45,3,3/1/2022 6:45,3.22,3,-0.22,3/1/2022 6:45,6:45:00
3/1/2022 7:00,3,3/1/2022 7:00,3.22,6,2.78,3/1/2022 7:00,7:00:00
3/1/2022 7:15,5,3/1/2022 7:15,4.12,6,1.88,3/1/2022 7:15,7:15:00
3/1/2022 7:30,6,3/1/2022 7:30,4.98,6,1.02,3/1/2022 7:30,7:30:00
3/1/2022 7:45,6,3/1/2022 7:45,4.65,5,0.35,3/1/2022 7:45,7:45:00
3/1/2022 8:00,6,3/1/2022 8:00,7.69,7.6,-0.09,3/1/2022 8:00,8:00:00
3/1/2022 8:15,10,3/1/2022 8:15,8.63,8,-0.63,3/1/2022 8:15,8:15:00
3/1/2022 8:30,11,3/1/2022 8:30,9.56,10,0.44,3/1/2022 8:30,8:30:00
3/1/2022 8:45,11,3/1/2022 8:45,10.49,12,1.51,3/1/2022 8:45,8:45:00
3/1/2022 9:00,9,3/1/2022 9:00,12.83,15,2.17,3/1/2022 9:00,9:00:00
3/1/2022 9:15,11,3/1/2022 9:15,14.11,13.73,-0.38,3/1/2022 9:15,9:15:00
3/1/2022 9:30,11,3/1/2022 9:30,15.89,15.67,-0.22,3/1/2022 9:30,9:30:00
3/1/2022 9:45,16,3/1/2022 9:45,16.78,18,1.22,3/1/2022 9:45,9:45:00
3/1/2022 10:00,14,3/1/2022 10:00,15.22,15.93,0.71,3/1/2022 10:00,10:00:00
3/1/2022 10:15,12,3/1/2022 10:15,20.06,18,-2.06,3/1/2022 10:15,10:15:00
3/1/2022 10:30,20,3/1/2022 10:30,16.93,17.47,0.54,3/1/2022 10:30,10:30:00
3/1/2022 10:45,14,3/1/2022 10:45,21.02,21.33,0.31,3/1/2022 10:45,10:45:00
3/1/2022 11:00,14,3/1/2022 11:00,20.47,20.47,0,3/1/2022 11:00,11:00:00
3/1/2022 11:15,13,3/1/2022 11:15,16.05,16.6,0.55,3/1/2022 11:15,11:15:00
3/1/2022 11:30,13,3/1/2022 11:30,21.97,21.67,-0.3,3/1/2022 11:30,11:30:00
3/1/2022 11:45,13,3/1/2022 11:45,22.93,21.87,-1.06,3/1/2022 11:45,11:45:00
3/1/2022 12:00,15,3/1/2022 12:00,22.93,22.07,-0.86,3/1/2022 12:00,12:00:00
3/1/2022 12:15,13,3/1/2022 12:15,22.93,21.87,-1.06,3/1/2022 12:15,12:15:00
3/1/2022 12:30,12,3/1/2022 12:30,14,14,0,3/1/2022 12:30,12:30:00
3/1/2022 12:45,14,3/1/2022 12:45,16.17,17,0.83,3/1/2022 12:45,12:45:00
3/1/2022 13:00,19,3/1/2022 13:00,17.87,17.87,0,3/1/2022 13:00,13:00:00
3/1/2022 13:15,18,3/1/2022 13:15,20,20,0,3/1/2022 13:15,13:15:00
3/1/2022 13:30,15,3/1/2022 13:30,22.8,22.8,0,3/1/2022 13:30,13:30:00
3/1/2022 13:45,17,3/1/2022 13:45,19.35,20.6,1.25,3/1/2022 13:45,13:45:00
3/1/2022 14:00,19,3/1/2022 14:00,16.73,16.73,0,3/1/2022 14:00,14:00:00
3/1/2022 14:15,20,3/1/2022 14:15,19,19,0,3/1/2022 14:15,14:15:00
3/1/2022 14:30,18,3/1/2022 14:30,20,20,0,3/1/2022 14:30,14:30:00
3/1/2022 14:45,15,3/1/2022 14:45,18,18,0,3/1/2022 14:45,14:45:00
3/1/2022 15:00,15,3/1/2022 15:00,17,17,0,3/1/2022 15:00,15:00:00
3/1/2022 15:15,17,3/1/2022 15:15,17,17,0,3/1/2022 15:15,15:15:00
3/1/2022 15:30,13,3/1/2022 15:30,18.67,18.67,0,3/1/2022 15:30,15:30:00
3/1/2022 15:45,17,3/1/2022 15:45,20.61,21,0.39,3/1/2022 15:45,15:45:00
3/1/2022 16:00,15,3/1/2022 16:00,20,20,0,3/1/2022 16:00,16:00:00
3/1/2022 16:15,18,3/1/2022 16:15,21.67,21.67,0,3/1/2022 16:15,16:15:00
3/1/2022 16:30,15,3/1/2022 16:30,19.67,19.67,0,3/1/2022 16:30,16:30:00
3/1/2022 16:45,17,3/1/2022 16:45,18.33,18.33,0,3/1/2022 16:45,16:45:00
3/1/2022 17:00,25,3/1/2022 17:00,13.23,15.33,2.1,3/1/2022 17:00,17:00:00
3/1/2022 17:15,16,3/1/2022 17:15,12,12,0,3/1/2022 17:15,17:15:00
3/1/2022 17:30,17,3/1/2022 17:30,12,12,0,3/1/2022 17:30,17:30:00
3/1/2022 17:45,19,3/1/2022 17:45,11.33,11.33,0,3/1/2022 17:45,17:45:00
3/1/2022 18:00,14,3/1/2022 18:00,12,12,0,3/1/2022 18:00,18:00:00
3/1/2022 18:15,13,3/1/2022 18:15,14.45,8.87,-5.58,3/1/2022 18:15,18:15:00
3/1/2022 18:30,14,3/1/2022 18:30,12.28,9.13,-3.15,3/1/2022 18:30,18:30:00
3/1/2022 18:45,13,3/1/2022 18:45,9.67,9.67,0,3/1/2022 18:45,18:45:00
3/1/2022 19:00,12,3/1/2022 19:00,9,9,0,3/1/2022 19:00,19:00:00
3/1/2022 19:15,11,3/1/2022 19:15,6.33,6.33,0,3/1/2022 19:15,19:15:00
3/1/2022 19:30,12,3/1/2022 19:30,4.67,4.67,0,3/1/2022 19:30,19:30:00
3/1/2022 19:45,12,3/1/2022 19:45,3.67,3.67,0,3/1/2022 19:45,19:45:00
3/1/2022 20:00,8,3/1/2022 20:00,5,5,0,3/1/2022 20:00,20:00:00
