DisplaycName,dIntervalStart,nEnteredAcd,nAnsweredAcd,nAbandonedAcd,nFlowOutAcd,nHoldAcd,tHoldAcd,tTalkAcd,tAcw
CC Risk 1,3/1/2022 0:00,0,0,0,0,0,0,0,62
CC Risk 1,3/1/2022 0:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:00,0,0,0,0,0,0,115,6
CC Risk 1,3/1/2022 0:00,1,1,0,0,1,73,469,0
CC Risk 1,3/1/2022 0:00,0,0,0,0,0,0,141,0
CC Risk 1,3/1/2022 0:00,1,1,0,0,0,0,108,0
CC Risk 1,3/1/2022 0:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:15,4,4,0,0,0,0,1364,6
CC Risk 1,3/1/2022 0:15,0,0,0,0,0,0,751,6
CC Risk 1,3/1/2022 0:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:15,0,0,0,0,0,0,764,43
CC Risk 1,3/1/2022 0:15,1,1,0,0,0,0,755,0
CC Risk 1,3/1/2022 0:30,3,3,0,0,1,24,2328,106
CC Risk 1,3/1/2022 0:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:30,1,1,0,0,0,0,57,28
CC Risk 1,3/1/2022 0:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:30,1,1,0,0,0,0,1963,118
CC Risk 1,3/1/2022 0:45,2,2,0,0,0,0,642,0
CC Risk 1,3/1/2022 0:45,1,1,0,0,0,0,529,0
CC Risk 1,3/1/2022 0:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 0:45,1,1,0,0,1,20,806,15
CC Risk 1,3/1/2022 1:00,3,3,0,0,1,18,2033,14
CC Risk 1,3/1/2022 1:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 1:00,1,1,0,0,0,0,1197,41
CC Risk 1,3/1/2022 1:00,0,0,0,0,0,0,197,59
CC Risk 1,3/1/2022 1:15,1,1,0,0,1,108,395,6
CC Risk 1,3/1/2022 1:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 1:15,2,2,0,0,1,36,2270,246
CC Risk 1,3/1/2022 1:30,0,0,0,0,0,0,1071,6
CC Risk 1,3/1/2022 1:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 1:30,1,1,0,0,0,0,158,0
CC Risk 1,3/1/2022 1:45,0,0,0,0,0,0,362,6
CC Risk 1,3/1/2022 1:45,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 1:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 1:45,1,1,0,0,0,0,719,0
CC Risk 1,3/1/2022 2:00,0,0,0,0,0,0,76,55
CC Risk 1,3/1/2022 2:00,0,0,0,0,0,396,900,0
CC Risk 1,3/1/2022 2:15,1,1,0,0,0,191,1063,31
CC Risk 1,3/1/2022 2:15,2,2,0,0,0,0,132,6
CC Risk 1,3/1/2022 2:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 2:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 2:30,0,0,0,0,1,45,600,159
CC Risk 1,3/1/2022 2:30,1,1,0,0,0,0,1161,103
CC Risk 1,3/1/2022 2:45,2,1,0,0,1,17,745,6
CC Risk 1,3/1/2022 2:45,1,1,0,0,0,0,410,0
CC Risk 1,3/1/2022 2:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 3:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 3:00,0,0,0,0,0,0,536,6
CC Risk 1,3/1/2022 3:00,2,3,0,0,1,16,1312,232
CC Risk 1,3/1/2022 3:15,1,1,0,0,0,27,734,66
CC Risk 1,3/1/2022 3:15,2,2,0,0,1,88,678,9
CC Risk 1,3/1/2022 3:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 3:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 3:30,1,1,0,0,1,52,732,146
CC Risk 1,3/1/2022 3:30,1,1,0,0,0,0,964,48
CC Risk 1,3/1/2022 3:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 3:30,1,1,0,0,1,22,687,0
CC Risk 1,3/1/2022 3:45,0,0,0,0,0,0,445,6
CC Risk 1,3/1/2022 3:45,0,0,0,0,1,316,843,56
CC Risk 1,3/1/2022 3:45,1,1,0,0,0,105,541,6
CC Risk 1,3/1/2022 3:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 4:00,0,0,0,0,1,288,604,84
CC Risk 1,3/1/2022 4:00,0,0,0,0,0,0,0,35
CC Risk 1,3/1/2022 4:15,1,1,0,0,1,197,550,0
CC Risk 1,3/1/2022 4:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 4:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 4:30,2,2,0,0,0,0,1441,6
CC Risk 1,3/1/2022 4:30,1,1,0,0,0,0,26,0
CC Risk 1,3/1/2022 4:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 4:45,0,0,0,0,0,0,355,43
CC Risk 1,3/1/2022 4:45,0,0,0,0,1,65,900,0
CC Risk 1,3/1/2022 5:00,1,1,0,0,0,0,124,0
CC Risk 1,3/1/2022 5:00,0,0,0,0,0,47,115,6
CC Risk 1,3/1/2022 5:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 5:00,2,2,0,0,0,0,378,12
CC Risk 1,3/1/2022 5:15,2,2,0,0,0,0,339,0
CC Risk 1,3/1/2022 5:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 5:15,1,1,0,0,0,0,469,6
CC Risk 1,3/1/2022 5:30,0,0,0,0,0,0,171,82
CC Risk 1,3/1/2022 5:30,0,0,0,0,1,302,452,0
CC Risk 1,3/1/2022 5:45,3,3,0,0,0,0,690,0
CC Risk 1,3/1/2022 5:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 6:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 6:00,1,1,0,0,1,16,2218,448
CC Risk 1,3/1/2022 6:15,2,2,0,0,1,22,990,44
CC Risk 1,3/1/2022 6:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 6:15,1,1,0,0,0,0,458,0
CC Risk 1,3/1/2022 6:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 6:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 6:30,1,1,0,0,0,0,13,0
CC Risk 1,3/1/2022 6:30,0,0,0,0,0,0,513,13
CC Risk 1,3/1/2022 6:30,0,0,0,0,0,0,1096,6
CC Risk 1,3/1/2022 6:45,2,2,0,0,1,156,2045,51
CC Risk 1,3/1/2022 6:45,3,3,0,0,0,0,1876,5
CC Risk 1,3/1/2022 6:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:00,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:00,2,2,0,0,1,278,1972,72
CC Risk 1,3/1/2022 7:00,0,0,0,0,0,0,199,333
CC Risk 1,3/1/2022 7:15,1,1,0,0,1,34,616,0
CC Risk 1,3/1/2022 7:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:15,2,2,0,0,0,0,632,6
CC Risk 1,3/1/2022 7:15,2,2,0,0,0,271,1512,12
CC Risk 1,3/1/2022 7:15,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:30,0,0,0,0,0,0,1438,168
CC Risk 1,3/1/2022 7:30,0,0,0,0,0,0,900,0
CC Risk 1,3/1/2022 7:30,3,3,0,0,1,24,1684,0
CC Risk 1,3/1/2022 7:30,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:30,1,1,0,0,0,0,644,0
CC Risk 1,3/1/2022 7:45,0,0,0,0,0,0,282,93
CC Risk 1,3/1/2022 7:45,5,5,0,0,1,64,3733,47
CC Risk 1,3/1/2022 7:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 7:45,2,2,0,0,0,0,882,15
CC Risk 1,3/1/2022 7:45,7,7,0,0,0,0,1705,165
CC Risk 1,3/1/2022 7:45,0,0,0,0,0,0,0,0
CC Risk 1,3/1/2022 8:00,0,0,0,0,0,0,0,0
