,dIntervalStart,nEnteredAcd,Start
0,3/1/2022 0:00,1,2022-03-01 00:00:00
1,3/1/2022 0:15,1,2022-03-01 00:15:00
2,3/1/2022 0:30,1,2022-03-01 00:30:00
3,3/1/2022 0:45,1,2022-03-01 00:45:00
4,3/1/2022 10:00,1,2022-03-01 10:00:00
5,3/1/2022 10:15,1,2022-03-01 10:15:00
6,3/1/2022 10:30,1,2022-03-01 10:30:00
7,3/1/2022 10:45,1,2022-03-01 10:45:00
8,3/1/2022 11:00,1,2022-03-01 11:00:00
9,3/1/2022 11:15,1,2022-03-01 11:15:00
10,3/1/2022 11:30,1,2022-03-01 11:30:00
11,3/1/2022 11:45,1,2022-03-01 11:45:00
12,3/1/2022 12:00,1,2022-03-01 12:00:00
13,3/1/2022 12:15,1,2022-03-01 12:15:00
14,3/1/2022 12:30,1,2022-03-01 12:30:00
15,3/1/2022 12:45,1,2022-03-01 12:45:00
16,3/1/2022 13:00,1,2022-03-01 13:00:00
17,3/1/2022 13:15,1,2022-03-01 13:15:00
18,3/1/2022 13:30,1,2022-03-01 13:30:00
19,3/1/2022 13:45,1,2022-03-01 13:45:00
20,3/1/2022 14:00,1,2022-03-01 14:00:00
21,3/1/2022 14:15,1,2022-03-01 14:15:00
22,3/1/2022 14:30,1,2022-03-01 14:30:00
23,3/1/2022 14:45,1,2022-03-01 14:45:00
24,3/1/2022 15:00,1,2022-03-01 15:00:00
25,3/1/2022 15:15,1,2022-03-01 15:15:00
26,3/1/2022 15:30,1,2022-03-01 15:30:00
27,3/1/2022 15:45,1,2022-03-01 15:45:00
28,3/1/2022 16:00,1,2022-03-01 16:00:00
29,3/1/2022 16:15,1,2022-03-01 16:15:00
30,3/1/2022 16:30,1,2022-03-01 16:30:00
31,3/1/2022 16:45,1,2022-03-01 16:45:00
32,3/1/2022 17:00,1,2022-03-01 17:00:00
33,3/1/2022 17:15,1,2022-03-01 17:15:00
34,3/1/2022 17:30,1,2022-03-01 17:30:00
35,3/1/2022 17:45,1,2022-03-01 17:45:00
36,3/1/2022 18:00,1,2022-03-01 18:00:00
37,3/1/2022 18:15,1,2022-03-01 18:15:00
38,3/1/2022 18:30,1,2022-03-01 18:30:00
39,3/1/2022 18:45,1,2022-03-01 18:45:00
40,3/1/2022 19:00,1,2022-03-01 19:00:00
41,3/1/2022 19:15,1,2022-03-01 19:15:00
42,3/1/2022 19:30,1,2022-03-01 19:30:00
43,3/1/2022 19:45,1,2022-03-01 19:45:00
44,3/1/2022 1:00,1,2022-03-01 01:00:00
45,3/1/2022 1:15,1,2022-03-01 01:15:00
46,3/1/2022 1:30,1,2022-03-01 01:30:00
47,3/1/2022 1:45,1,2022-03-01 01:45:00
48,3/1/2022 20:00,1,2022-03-01 20:00:00
49,3/1/2022 20:15,1,2022-03-01 20:15:00
50,3/1/2022 20:30,1,2022-03-01 20:30:00
51,3/1/2022 20:45,1,2022-03-01 20:45:00
52,3/1/2022 21:00,1,2022-03-01 21:00:00
53,3/1/2022 21:15,1,2022-03-01 21:15:00
54,3/1/2022 21:30,1,2022-03-01 21:30:00
55,3/1/2022 21:45,1,2022-03-01 21:45:00
56,3/1/2022 22:00,1,2022-03-01 22:00:00
57,3/1/2022 22:15,1,2022-03-01 22:15:00
58,3/1/2022 22:30,1,2022-03-01 22:30:00
59,3/1/2022 22:45,1,2022-03-01 22:45:00
60,3/1/2022 23:00,1,2022-03-01 23:00:00
61,3/1/2022 23:15,1,2022-03-01 23:15:00
62,3/1/2022 23:30,1,2022-03-01 23:30:00
63,3/1/2022 23:45,1,2022-03-01 23:45:00
64,3/1/2022 2:00,1,2022-03-01 02:00:00
65,3/1/2022 2:15,1,2022-03-01 02:15:00
66,3/1/2022 2:30,1,2022-03-01 02:30:00
67,3/1/2022 2:45,1,2022-03-01 02:45:00
68,3/1/2022 3:00,1,2022-03-01 03:00:00
69,3/1/2022 3:15,1,2022-03-01 03:15:00
70,3/1/2022 3:30,1,2022-03-01 03:30:00
71,3/1/2022 3:45,1,2022-03-01 03:45:00
72,3/1/2022 4:00,1,2022-03-01 04:00:00
73,3/1/2022 4:15,1,2022-03-01 04:15:00
74,3/1/2022 4:30,1,2022-03-01 04:30:00
75,3/1/2022 4:45,1,2022-03-01 04:45:00
76,3/1/2022 5:00,1,2022-03-01 05:00:00
77,3/1/2022 5:15,1,2022-03-01 05:15:00
78,3/1/2022 5:30,1,2022-03-01 05:30:00
79,3/1/2022 5:45,1,2022-03-01 05:45:00
80,3/1/2022 6:00,1,2022-03-01 06:00:00
81,3/1/2022 6:15,1,2022-03-01 06:15:00
82,3/1/2022 6:30,1,2022-03-01 06:30:00
83,3/1/2022 6:45,1,2022-03-01 06:45:00
84,3/1/2022 7:00,1,2022-03-01 07:00:00
85,3/1/2022 7:15,1,2022-03-01 07:15:00
86,3/1/2022 7:30,1,2022-03-01 07:30:00
87,3/1/2022 7:45,1,2022-03-01 07:45:00
88,3/1/2022 8:00,1,2022-03-01 08:00:00
89,3/1/2022 8:15,1,2022-03-01 08:15:00
90,3/1/2022 8:30,1,2022-03-01 08:30:00
91,3/1/2022 8:45,1,2022-03-01 08:45:00
92,3/1/2022 9:00,1,2022-03-01 09:00:00
93,3/1/2022 9:15,1,2022-03-01 09:15:00
94,3/1/2022 9:30,1,2022-03-01 09:30:00
95,3/1/2022 9:45,1,2022-03-01 09:45:00
96,3/10/2022 0:00,1,2022-03-10 00:00:00
97,3/10/2022 0:15,1,2022-03-10 00:15:00
98,3/10/2022 0:30,1,2022-03-10 00:30:00
99,3/10/2022 0:45,1,2022-03-10 00:45:00
100,3/10/2022 10:00,1,2022-03-10 10:00:00
101,3/10/2022 10:15,1,2022-03-10 10:15:00
102,3/10/2022 10:30,1,2022-03-10 10:30:00
103,3/10/2022 10:45,1,2022-03-10 10:45:00
104,3/10/2022 11:00,1,2022-03-10 11:00:00
105,3/10/2022 11:15,1,2022-03-10 11:15:00
106,3/10/2022 11:30,1,2022-03-10 11:30:00
107,3/10/2022 11:45,1,2022-03-10 11:45:00
108,3/10/2022 12:00,1,2022-03-10 12:00:00
109,3/10/2022 12:15,1,2022-03-10 12:15:00
110,3/10/2022 12:30,1,2022-03-10 12:30:00
111,3/10/2022 12:45,1,2022-03-10 12:45:00
112,3/10/2022 13:00,1,2022-03-10 13:00:00
113,3/10/2022 13:15,1,2022-03-10 13:15:00
114,3/10/2022 13:30,1,2022-03-10 13:30:00
115,3/10/2022 13:45,1,2022-03-10 13:45:00
116,3/10/2022 14:00,1,2022-03-10 14:00:00
117,3/10/2022 14:15,1,2022-03-10 14:15:00
118,3/10/2022 14:30,1,2022-03-10 14:30:00
119,3/10/2022 14:45,1,2022-03-10 14:45:00
120,3/10/2022 15:00,1,2022-03-10 15:00:00
121,3/10/2022 15:15,1,2022-03-10 15:15:00
122,3/10/2022 15:30,1,2022-03-10 15:30:00
123,3/10/2022 15:45,1,2022-03-10 15:45:00
