,Unnamed: 0_x,Main_date_x,MDate,Unnamed: 0_y,Main_date_y,nEnteredAcd,Start,PRI_INDEX,ROUTING_SET,START_TIME,STOP_TIME,HOUR,MINUTE,Req,Sch,Schedule Tally Delta,Net,Period,PeriodM
0,0,2022-03-01 00:00:00,2022-03-01 00:00:00,0.0,3/1/2022 0:00,7.0,3/1/2022 0:00,1.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,0.0,0.0,2.76,3.0,,0.24,3/1/2022 0:0,00:00:00
1,1,2022-03-01 00:15:00,2022-03-01 00:15:00,1.0,3/1/2022 0:15,5.0,3/1/2022 0:15,2.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,0.0,15.0,4.02,3.0,,-1.02,3/1/2022 0:15,00:15:00
2,2,2022-03-01 00:30:00,2022-03-01 00:30:00,2.0,3/1/2022 0:30,5.0,3/1/2022 0:30,3.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,0.0,30.0,2.71,3.0,,0.29,3/1/2022 0:30,00:30:00
3,3,2022-03-01 00:45:00,2022-03-01 00:45:00,3.0,3/1/2022 0:45,5.0,3/1/2022 0:45,4.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,0.0,45.0,2.1,2.2,,0.1,3/1/2022 0:45,00:45:00
4,4,2022-03-01 01:00:00,2022-03-01 01:00:00,44.0,3/1/2022 1:00,4.0,3/1/2022 1:00,5.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,1.0,0.0,2.71,3.0,,0.29,3/1/2022 1:0,01:00:00
5,5,2022-03-01 01:15:00,2022-03-01 01:15:00,45.0,3/1/2022 1:15,3.0,3/1/2022 1:15,6.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,1.0,15.0,2.71,2.0,,-0.71,3/1/2022 1:15,01:15:00
6,6,2022-03-01 01:30:00,2022-03-01 01:30:00,46.0,3/1/2022 1:30,3.0,3/1/2022 1:30,7.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,1.0,30.0,0.0,2.0,,2.0,3/1/2022 1:30,01:30:00
7,7,2022-03-01 01:45:00,2022-03-01 01:45:00,47.0,3/1/2022 1:45,4.0,3/1/2022 1:45,8.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,1.0,45.0,2.71,2.0,,-0.71,3/1/2022 1:45,01:45:00
8,8,2022-03-01 02:00:00,2022-03-01 02:00:00,64.0,3/1/2022 2:00,2.0,3/1/2022 2:00,9.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,2.0,0.0,0.0,3.0,,3.0,3/1/2022 2:0,02:00:00
9,9,2022-03-01 02:15:00,2022-03-01 02:15:00,65.0,3/1/2022 2:15,3.0,3/1/2022 2:15,10.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,2.0,15.0,0.0,3.0,,3.0,3/1/2022 2:15,02:15:00
10,10,2022-03-01 02:30:00,2022-03-01 02:30:00,66.0,3/1/2022 2:30,3.0,3/1/2022 2:30,11.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,2.0,30.0,0.0,2.0,,2.0,3/1/2022 2:30,02:30:00
11,11,2022-03-01 02:45:00,2022-03-01 02:45:00,67.0,3/1/2022 2:45,3.0,3/1/2022 2:45,12.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,2.0,45.0,0.0,3.0,,3.0,3/1/2022 2:45,02:45:00
12,12,2022-03-01 03:00:00,2022-03-01 03:00:00,68.0,3/1/2022 3:00,3.0,3/1/2022 3:00,13.0,NetClaim Multiskill - Global,3/1/2022,3/2/2022,3.0,0.0,0.0,3.0,,3.0,3/1/2022 3:0,03:00:00
