PRI_INDEX,ROUTING_SET,START_TIME,STOP_TIME,HOUR,MINUTE,Req,Sch,Schedule Tally Delta,Net
1,NetClaim Multiskill - Global,11/1/2022,11/2/2022,0,0,3.07,3.07,,0
2,NetClaim Multiskill - Global,11/1/2022,11/2/2022,0,15,4.28,4,,-0.28
3,NetClaim Multiskill - Global,11/1/2022,11/2/2022,0,30,2.87,4,,1.13
4,NetClaim Multiskill - Global,11/1/2022,11/2/2022,0,45,4.28,4,,-0.28
5,NetClaim Multiskill - Global,11/1/2022,11/2/2022,1,0,1.64,4,,2.36
6,NetClaim Multiskill - Global,11/1/2022,11/2/2022,1,15,3.87,4,,0.13
7,NetClaim Multiskill - Global,11/1/2022,11/2/2022,1,30,2.87,4,,1.13
8,NetClaim Multiskill - Global,11/1/2022,11/2/2022,1,45,4.28,1.53,,-2.75
9,NetClaim Multiskill - Global,11/1/2022,11/2/2022,2,0,2.51,2,,-0.51
10,NetClaim Multiskill - Global,11/1/2022,11/2/2022,2,15,0,2,,2
11,NetClaim Multiskill - Global,11/1/2022,11/2/2022,2,30,0,3,,3
12,NetClaim Multiskill - Global,11/1/2022,11/2/2022,2,45,0,4,,4
13,NetClaim Multiskill - Global,11/1/2022,11/2/2022,3,0,0,4,,4
14,NetClaim Multiskill - Global,11/1/2022,11/2/2022,3,15,0,4,,4
15,NetClaim Multiskill - Global,11/1/2022,11/2/2022,3,30,0,4,,4
16,NetClaim Multiskill - Global,11/1/2022,11/2/2022,3,45,0,4,,4
17,NetClaim Multiskill - Global,11/1/2022,11/2/2022,4,0,0,4,,4
18,NetClaim Multiskill - Global,11/1/2022,11/2/2022,4,15,2.51,3,,0.49
19,NetClaim Multiskill - Global,11/1/2022,11/2/2022,4,30,2.51,2,,-0.51
20,NetClaim Multiskill - Global,11/1/2022,11/2/2022,4,45,2.51,1.67,,-0.84
21,NetClaim Multiskill - Global,11/1/2022,11/2/2022,5,0,0,1,,1
22,NetClaim Multiskill - Global,11/1/2022,11/2/2022,5,15,2.51,2,,-0.51
23,NetClaim Multiskill - Global,11/1/2022,11/2/2022,5,30,0,2,,2
24,NetClaim Multiskill - Global,11/1/2022,11/2/2022,5,45,4.74,3,,-1.74
25,NetClaim Multiskill - Global,11/1/2022,11/2/2022,6,0,3.68,3,,-0.68
26,NetClaim Multiskill - Global,11/1/2022,11/2/2022,6,15,2.51,3,,0.49
27,NetClaim Multiskill - Global,11/1/2022,11/2/2022,6,30,2.51,3,,0.49
28,NetClaim Multiskill - Global,11/1/2022,11/2/2022,6,45,3.68,3,,-0.68
29,NetClaim Multiskill - Global,11/1/2022,11/2/2022,7,0,3.68,4,,0.32
30,NetClaim Multiskill - Global,11/1/2022,11/2/2022,7,15,4.74,4,,-0.74
31,NetClaim Multiskill - Global,11/1/2022,11/2/2022,7,30,4.74,4,,-0.74
32,NetClaim Multiskill - Global,11/1/2022,11/2/2022,7,45,3.68,2.67,,-1.01
33,NetClaim Multiskill - Global,11/1/2022,11/2/2022,8,0,6.96,4,,-2.96
34,NetClaim Multiskill - Global,11/1/2022,11/2/2022,8,15,7.26,5,,-2.26
35,NetClaim Multiskill - Global,11/1/2022,11/2/2022,8,30,9.39,6.6,,-2.79
36,NetClaim Multiskill - Global,11/1/2022,11/2/2022,8,45,8,8,,0
37,NetClaim Multiskill - Global,11/1/2022,11/2/2022,9,0,8.05,9.53,,1.48
38,NetClaim Multiskill - Global,11/1/2022,11/2/2022,9,15,10.87,10.87,,0
39,NetClaim Multiskill - Global,11/1/2022,11/2/2022,9,30,11.07,11,,-0.07
40,NetClaim Multiskill - Global,11/1/2022,11/2/2022,9,45,11.8,10,,-1.8
41,NetClaim Multiskill - Global,11/1/2022,11/2/2022,10,0,10.92,11.73,,0.81
42,NetClaim Multiskill - Global,11/1/2022,11/2/2022,10,15,11.66,12,,0.34
43,NetClaim Multiskill - Global,11/1/2022,11/2/2022,10,30,15.09,15,,-0.09
44,NetClaim Multiskill - Global,11/1/2022,11/2/2022,10,45,16.34,18.33,,1.99
45,NetClaim Multiskill - Global,11/1/2022,11/2/2022,11,0,15.97,16,,0.03
46,NetClaim Multiskill - Global,11/1/2022,11/2/2022,11,15,17.87,18,,0.13
47,NetClaim Multiskill - Global,11/1/2022,11/2/2022,11,30,20.85,20.53,,-0.32
48,NetClaim Multiskill - Global,11/1/2022,11/2/2022,11,45,21.17,22,,0.83
49,NetClaim Multiskill - Global,11/1/2022,11/2/2022,12,0,20.82,21,,0.18
50,NetClaim Multiskill - Global,11/1/2022,11/2/2022,12,15,17.28,15,,-2.28
51,NetClaim Multiskill - Global,11/1/2022,11/2/2022,12,30,22.19,18,,-4.19
52,NetClaim Multiskill - Global,11/1/2022,11/2/2022,12,45,18.6,22,,3.4
53,NetClaim Multiskill - Global,11/1/2022,11/2/2022,13,0,21.97,24,,2.03
54,NetClaim Multiskill - Global,11/1/2022,11/2/2022,13,15,19.73,26,,6.27
55,NetClaim Multiskill - Global,11/1/2022,11/2/2022,13,30,21.13,22,,0.87
56,NetClaim Multiskill - Global,11/1/2022,11/2/2022,13,45,16.91,19.73,,2.82
57,NetClaim Multiskill - Global,11/1/2022,11/2/2022,14,0,24.19,24,,-0.19
58,NetClaim Multiskill - Global,11/1/2022,11/2/2022,14,15,19.62,21.53,,1.91
59,NetClaim Multiskill - Global,11/1/2022,11/2/2022,14,30,18.33,18.33,,0
60,NetClaim Multiskill - Global,11/1/2022,11/2/2022,14,45,22.36,19,,-3.36
61,NetClaim Multiskill - Global,11/1/2022,11/2/2022,15,0,20.83,20,,-0.83
62,NetClaim Multiskill - Global,11/1/2022,11/2/2022,15,15,23.23,23,,-0.23
63,NetClaim Multiskill - Global,11/1/2022,11/2/2022,15,30,20.85,24,,3.15
64,NetClaim Multiskill - Global,11/1/2022,11/2/2022,15,45,24.19,24.2,,0.01
65,NetClaim Multiskill - Global,11/1/2022,11/2/2022,16,0,22.76,24.6,,1.84
66,NetClaim Multiskill - Global,11/1/2022,11/2/2022,16,15,23.08,25.13,,2.05
67,NetClaim Multiskill - Global,11/1/2022,11/2/2022,16,30,20.85,24.07,,3.22
68,NetClaim Multiskill - Global,11/1/2022,11/2/2022,16,45,16.34,20.67,,4.33
69,NetClaim Multiskill - Global,11/1/2022,11/2/2022,17,0,19.73,19.93,,0.2
70,NetClaim Multiskill - Global,11/1/2022,11/2/2022,17,15,13.21,15.33,,2.12
71,NetClaim Multiskill - Global,11/1/2022,11/2/2022,17,30,15.21,18,,2.79
72,NetClaim Multiskill - Global,11/1/2022,11/2/2022,17,45,11.75,18.07,,6.32
73,NetClaim Multiskill - Global,11/1/2022,11/2/2022,18,0,15.06,16.4,,1.34
74,NetClaim Multiskill - Global,11/1/2022,11/2/2022,18,15,14.06,18.87,,4.81
75,NetClaim Multiskill - Global,11/1/2022,11/2/2022,18,30,10.58,17,,6.42
76,NetClaim Multiskill - Global,11/1/2022,11/2/2022,18,45,11.75,16.67,,4.92
77,NetClaim Multiskill - Global,11/1/2022,11/2/2022,19,0,8.19,15.67,,7.48
78,NetClaim Multiskill - Global,11/1/2022,11/2/2022,19,15,6.96,10.67,,3.71
79,NetClaim Multiskill - Global,11/1/2022,11/2/2022,19,30,8.19,9.8,,1.61
80,NetClaim Multiskill - Global,11/1/2022,11/2/2022,19,45,5.7,10.07,,4.37
81,NetClaim Multiskill - Global,11/1/2022,11/2/2022,20,0,6.79,6.47,,-0.32
82,NetClaim Multiskill - Global,11/1/2022,11/2/2022,20,15,6,6,,0
83,NetClaim Multiskill - Global,11/1/2022,11/2/2022,20,30,5.17,5.4,,0.23
84,NetClaim Multiskill - Global,11/1/2022,11/2/2022,20,45,7.99,5.67,,-2.32
85,NetClaim Multiskill - Global,11/1/2022,11/2/2022,21,0,6.79,4.67,,-2.12
86,NetClaim Multiskill - Global,11/1/2022,11/2/2022,21,15,5.57,4,,-1.57
87,NetClaim Multiskill - Global,11/1/2022,11/2/2022,21,30,2.44,4,,1.56
88,NetClaim Multiskill - Global,11/1/2022,11/2/2022,21,45,2.14,4,,1.86
89,NetClaim Multiskill - Global,11/1/2022,11/2/2022,22,0,2.87,3,,0.13
90,NetClaim Multiskill - Global,11/1/2022,11/2/2022,22,15,0,3,,3
91,NetClaim Multiskill - Global,11/1/2022,11/2/2022,22,30,2.87,3,,0.13
92,NetClaim Multiskill - Global,11/1/2022,11/2/2022,22,45,0,3,,3
93,NetClaim Multiskill - Global,11/1/2022,11/2/2022,23,0,2.87,1.53,,-1.34
94,NetClaim Multiskill - Global,11/1/2022,11/2/2022,23,15,1.73,1.73,,0
