"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
1,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,0,0,4.14,6,,1.86
2,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,0,15,2.82,4,,1.18
3,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,0,30,2.82,7.47,,4.65
4,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,0,45,2.82,7,,4.18
5,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,1,0,2.82,8,,5.18
6,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,1,15,4.14,8,,3.86
7,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,1,30,2.82,9,,6.18
8,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,1,45,2.82,9,,6.18
9,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,2,0,2.82,9,,6.18
10,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,2,15,2.82,7,,4.18
11,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,2,30,2.82,7,,4.18
12,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,2,45,4.14,7.93,,3.79
13,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,3,0,4.14,6.73,,2.59
14,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,3,15,2.82,4.47,,1.65
15,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,3,30,0,5.47,,5.47
16,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,3,45,0,6,,6
17,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,4,0,2.82,6,,3.18
18,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,4,15,2.82,7,,4.18
19,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,4,30,2.57,7,,4.43
20,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,4,45,0,6.33,,6.33
21,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,5,0,2.57,4.53,,1.96
22,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,5,15,2.57,4,,1.43
23,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,5,30,2.57,6,,3.43
24,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,5,45,2.57,6,,3.43
25,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,6,0,3.73,8,,4.27
26,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,6,15,3.73,8,,4.27
27,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,6,30,4.79,9,,4.21
28,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,6,45,4.79,8,,3.21
29,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,7,0,4.91,13.53,,8.62
30,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,7,15,5.95,16,,10.05
31,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,7,30,9.83,16,,6.17
32,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,7,45,12.61,18.33,,5.72
33,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,8,0,8.88,21.33,,12.45
34,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,8,15,18.01,21,,2.99
35,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,8,30,15.88,20.2,,4.32
36,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,8,45,19.86,20.33,,0.47
37,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,9,0,23.79,22.67,,-1.12
38,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,9,15,20.33,20.33,,0
39,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,9,30,26.51,26.2,,-0.31
40,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,9,45,32.41,27.73,,-4.68
41,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,10,0,31.55,36.33,,4.78
42,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,10,15,37.32,38,,0.68
43,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,10,30,34.07,34,,-0.07
44,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,10,45,39.23,39,,-0.23
45,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,11,0,37.32,40,,2.68
46,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,11,15,36.91,39,,2.09
47,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,11,30,35.4,38.8,,3.4
48,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,11,45,34.12,34.93,,0.81
49,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,12,0,31.14,31,,-0.14
50,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,12,15,40.29,40.33,,0.04
51,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,12,30,44,40.47,,-3.53
52,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,12,45,36.36,41,,4.64
53,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,13,0,36.36,42,,5.64
54,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,13,15,41.14,49.87,,8.73
55,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,13,30,45.91,49,,3.09
56,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,13,45,41.14,46.4,,5.26
57,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,14,0,44,43.47,,-0.53
58,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,14,15,39.25,40,,0.75
59,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,14,30,39.97,40,,0.03
60,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,14,45,37.96,38,,0.04
