"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
1,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,0,0,0.52,1.93,,1.41
2,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,0,15,0.4,3,,2.6
3,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,0,30,0,3,,3
4,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,0,45,0,2,,2
5,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,1,0,1.23,3,,1.77
6,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,1,15,0.41,3,,2.59
7,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,1,30,0,3,,3
8,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,1,45,0,3,,3
9,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,2,0,0,1,,1
10,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,2,15,0,3,,3
11,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,2,30,0,3,,3
12,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,2,45,0,3,,3
13,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,3,0,0,2,,2
14,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,3,15,0,2,,2
15,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,3,30,0,3,,3
16,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,3,45,0,3,,3
17,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,4,0,0,2,,2
18,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,4,15,0,2,,2
19,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,4,30,0,3,,3
20,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,4,45,0,3,,3
21,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,5,0,0,2,,2
22,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,5,15,0,2,,2
23,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,5,30,0,1,,1
24,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,5,45,0,2,,2
25,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,6,0,0,3,,3
26,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,6,15,0,4,,4
27,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,6,30,0,4,,4
28,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,6,45,0,4,,4
29,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,7,0,0,5,,5
30,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,7,15,0.23,4.67,,4.44
31,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,7,30,0.46,5,,4.54
32,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,7,45,0,4,,4
33,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,8,0,0.74,3.07,,2.33
34,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,8,15,2.47,1.73,,-0.74
35,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,8,30,0,5,,5
36,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,8,45,3.39,4,,0.61
37,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,9,0,3.9,6,,2.1
38,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,9,15,1.41,5.73,,4.32
39,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,9,30,4.79,6,,1.21
40,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,9,45,7.22,6.93,,-0.29
41,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,10,0,7.49,8.67,,1.18
42,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,10,15,7.54,7.27,,-0.27
43,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,10,30,6.34,6.6,,0.26
44,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,10,45,2.8,6.73,,3.93
45,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,11,0,4.94,5,,0.06
46,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,11,15,5.03,5,,-0.03
47,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,11,30,2.56,6,,3.44
48,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,11,45,3.56,5,,1.44
49,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,12,0,5.74,6,,0.26
50,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,12,15,6.33,7,,0.67
51,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,12,30,5.78,6,,0.22
52,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,12,45,1.98,6,,4.02
53,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,13,0,3.26,5,,1.74
54,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,13,15,2.71,6,,3.29
55,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,13,30,5.01,6,,0.99
56,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,13,45,3.25,7,,3.75
57,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,14,0,3.39,7,,3.61
58,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,14,15,5.85,6,,0.15
59,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,14,30,2.26,7.67,,5.41
60,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,14,45,5.38,6,,0.62
61,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,15,0,6,6,,0
62,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,15,15,3.41,3.67,,0.26
63,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,15,30,2.91,5,,2.09
64,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,15,45,2.49,6.27,,3.78
65,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,16,0,2.02,5.33,,3.31
66,"NetClaim Multiskill - Global",11/1/2022,11/2/2022,16,15,3.65,6,,2.35
