,0,1,2,3,4,5,6,7
0,Incident,Client,Hot,Escalate,QA Status,Origin,Completed,Product
1,133811081,Allstar Transportation Program 013108,,,RETURNED,EMAIL,,AL
2,133811151,LOCKHEED MARTIN,X,,IN PROGRESS,PHONE CALL,,WC
3,133819668,Unknown Client,,,WAITING,PHONE CALL,,GI
4,133820403,Unknown Client,,,WAITING,PHONE CALL,,GI
5,133820471,Unknown Client,,,WAITING,PHONE CALL,,GI
6,133820505,Unknown Client,,,WAITING,PHONE CALL,,GI
7,133820778,Unknown Client,,,WAITING,PHONE CALL,,GI
8,133820894,Unknown Client,,,WAITING,PHONE CALL,,GI
9,133821710,THE WILLIAMS COMPANIES,,,WAITING,PHONE CALL,,AL
10,133821716,Pepsi Beverages Company,,,IN PROGRESS,PHONE CALL,Sep 29 2022 4:24PM,AL
11,133821728,Unknown Client,,,WAITING,PHONE CALL,,GI
12,133821816,TCFIII OWL BUYER LLC (018575),,,WAITING,PHONE CALL,Sep 29 2022 5:43PM,AL
13,133822046,EXTRA SPACE,,,WAITING,PHONE CALL,Sep 29 2022 4:46PM,PL
14,133822079,NISOURCE (ESIS),,,WAITING,PHONE CALL,Sep 29 2022 4:37PM,AL
15,133822108,Pepsi Beverages Company,,,IN PROGRESS,PHONE CALL,Sep 29 2022 4:29PM,WC
16,133822117,Rentokil North America (011428),,,WAITING,PHONE CALL,Sep 29 2022 4:31PM,GL
17,133822122,Temporary Services Ins TSIL 001627,,,IN PROGRESS,PHONE CALL,Sep 29 2022 4:29PM,WC
18,133822129,MODIVCARE,,,WAITING,PHONE CALL,Sep 29 2022 4:46PM,WC
19,133822138,State of Florida & Florida National Guard (USIS),,,IN PROGRESS,PHONE CALL,Sep 29 2022 4:29PM,WC
20,133822141,CITGO PETROLEUM OCIP,,,WAITING,PHONE CALL,Sep 29 2022 4:46PM,WC
21,133822146,ACE USA - ASM (ACE Specialty Markets),,,WAITING,PHONE CALL,Sep 29 2022 4:39PM,AL
22,133822152,Summit Insurance Ltd. (001529),,,WAITING,PHONE CALL,Sep 29 2022 5:05PM,AL
23,133822160,Waste Management (003000),,,WAITING,PHONE CALL,Sep 29 2022 4:46PM,AL
24,133822166,State of Florida & Florida National Guard (USIS),,,WAITING,PHONE CALL,Sep 29 2022 4:41PM,WC
25,133822173,Utica National Insurance Group,,,WAITING,PHONE CALL,Sep 29 2022 4:43PM,WC
26,133822174,ACE USA - ASM (ACE Specialty Markets),,,WAITING,PHONE CALL,Sep 29 2022 4:55PM,AL
27,133822180,P&C - Athens Administrators,,,WAITING,PHONE CALL,Sep 29 2022 4:55PM,AL
28,133822206,Autozone (000531),,,WAITING,PHONE CALL,Sep 29 2022 4:47PM,AL
29,133822229,MS LIME,,,WAITING,PHONE CALL,Sep 29 2022 5:01PM,WC
30,133822244,Daimler Trucks North America (001961),,,WAITING,PHONE CALL,Sep 29 2022 4:54PM,AL
31,133822286,Pepsi Beverages Company,,,WAITING,PHONE CALL,Sep 29 2022 5:08PM,WC
32,133822289,WORLD OIL CORP,,,WAITING,PHONE CALL,,WC
33,133822295,MONDELEZ INTERNATIONAL INC,,,WAITING,PHONE CALL,Sep 29 2022 5:11PM,WC
34,133822297,CIRMA,,,WAITING,PHONE CALL,Sep 29 2022 5:12PM,WC
35,133822309,AVI Foodsystems,,,WAITING,PHONE CALL,Sep 29 2022 4:56PM,CCQ
36,133822311,Waste Management (003000),,,WAITING,PHONE CALL,Sep 29 2022 5:06PM,WC
37,133822319,Autozone (000531),,,WAITING,PHONE CALL,Sep 29 2022 5:14PM,AL
38,133822320,Refresco US Holding (009143),,,WAITING,PHONE CALL,Sep 29 2022 5:14PM,WC
39,133822326,CORE-MARK HOLDING COMPANY,,,WAITING,PHONE CALL,Sep 29 2022 5:14PM,WC
40,133822339,ACE USA - ASM (ACE Specialty Markets),,,WAITING,PHONE CALL,Sep 29 2022 5:28PM,AL
41,133822363,ESIS Standard,,,WAITING,PHONE CALL,Sep 29 2022 5:31PM,WC
