,0,1,2,3,4,5,6,7
0,Incident,Client,Hot,Escalate,QA Status,Origin,Completed,Product
1,133787035,Sodexo 000808,X,,IN PROGRESS,PHONE CALL,,WC
2,133787217,Sodexo 000808,X,,WAITING,PHONE CALL,,WC
3,133794359,Qdoba Restaurant (009431),,,RETURNED,EMAIL,Sep 21 2022 1:40PM,WC
4,133794605,Accident Fund Insurance (009089),,,WAITING,EMAIL,Sep 21 2022 2:12PM,WC
5,133794608,All Risks LTD (002221),,,WAITING,EMAIL,Sep 21 2022 2:18PM,WC
6,133794622,National Liability and Fire (005783),,,WAITING,EMAIL,Sep 21 2022 3:28PM,WC
7,133794633,Safehold Special Risk Vets (009520),,,WAITING,EMAIL,Sep 21 2022 2:29PM,WC
8,133794654,Acuity International (014039),,,WAITING,EMAIL,Sep 21 2022 2:31PM,WC
9,133794957,Chubb UNKNOWN,,,WAITING,EMAIL,Sep 21 2022 3:23PM,WC
10,133794985,AbbVie (004607),,,WAITING,EMAIL,Sep 21 2022 3:16PM,AL
11,133795056,Shaw Industries (002812) (GB),,,WAITING,EMAIL,Sep 21 2022 3:33PM,GL
12,133795084,Franchise Group (009355),,,WAITING,EMAIL,Sep 21 2022 3:38PM,WC
13,133795138,Affinity Insurance C/O Captive Resources (001960),,,WAITING,EMAIL,Sep 21 2022 3:57PM,AL
14,133795206,Normandy Insurance,,,RETURNED,EMAIL,Sep 21 2022 4:04PM,WC
15,133795265,Gruma Corporation (009044),,,WAITING,EMAIL,Sep 21 2022 4:09PM,WC
16,133795499,ESIS Standard,,,WAITING,EMAIL,Sep 21 2022 5:06PM,AL
17,133795631,All Risks LTD (002221),,,WAITING,EMAIL,Sep 21 2022 5:13PM,WC
18,133795694,Normandy Insurance,,,RETURNED,EMAIL,Sep 21 2022 5:34PM,WC
19,133795719,Sterling Jewelers (GB) (002341),,,WAITING,EMAIL,Sep 21 2022 5:22PM,GL
20,133795734,Benson Industries (005974),,,WAITING,EMAIL,Sep 21 2022 5:23PM,WC
21,133795801,Astrus Insurance Solutions (006537),,,WAITING,EMAIL,Sep 21 2022 5:43PM,WC
22,133795803,Normandy Insurance,,,WAITING,EMAIL,Sep 21 2022 5:37PM,WC
23,133795821,LAYTON CONSTRUCTION RCCIP3,,,IN PROGRESS,EMAIL,Sep 21 2022 5:42PM,WC
24,133795853,TRANSERVICE LOGISTICS LLC,,,WAITING,EMAIL,Sep 21 2022 5:49PM,GL
25,133795861,Normandy Insurance,,,WAITING,EMAIL,Sep 21 2022 5:59PM,WC
