PRI_INDEX,ROUTING_SET,START_TIME,STOP_TIME,HOUR,MINUTE,Req w/ Unp,Req,Sch,Schedule Tally Delta,Net,APS,Dev,Adh,Status,Lock
1,NetClaim Multiskill - Global,3/31/2022,4/1/2022,0,0,1.99,1.99,3,,1.01,,,,Unavailable,0
2,NetClaim Multiskill - Global,3/31/2022,4/1/2022,0,15,2.71,2.71,3,,0.29,,,,Unavailable,0
3,NetClaim Multiskill - Global,3/31/2022,4/1/2022,0,30,0,0,3,,3,,,,Unavailable,0
4,NetClaim Multiskill - Global,3/31/2022,4/1/2022,0,45,3,3,3,,0,,,,Unavailable,0
5,NetClaim Multiskill - Global,3/31/2022,4/1/2022,1,0,0,0,2,,2,,,,Unavailable,0
6,NetClaim Multiskill - Global,3/31/2022,4/1/2022,1,15,2.66,2.66,3,,0.34,,,,Unavailable,0
7,NetClaim Multiskill - Global,3/31/2022,4/1/2022,1,30,4.02,4.02,3,,-1.02,,,,Unavailable,0
8,NetClaim Multiskill - Global,3/31/2022,4/1/2022,1,45,2.71,2.71,2,,-0.71,,,,Unavailable,0
9,NetClaim Multiskill - Global,3/31/2022,4/1/2022,2,0,4.02,4.02,2,,-2.02,,,,Unavailable,0
10,NetClaim Multiskill - Global,3/31/2022,4/1/2022,2,15,0,0,3,,3,,,,Unavailable,0
11,NetClaim Multiskill - Global,3/31/2022,4/1/2022,2,30,2.71,2.71,3,,0.29,,,,Unavailable,0
12,NetClaim Multiskill - Global,3/31/2022,4/1/2022,2,45,0,0,3,,3,,,,Unavailable,0
13,NetClaim Multiskill - Global,3/31/2022,4/1/2022,3,0,0,0,3,,3,,,,Unavailable,0
14,NetClaim Multiskill - Global,3/31/2022,4/1/2022,3,15,0,0,2.67,,2.67,,,,Unavailable,0
15,NetClaim Multiskill - Global,3/31/2022,4/1/2022,3,30,0,0,2,,2,,,,Unavailable,0
16,NetClaim Multiskill - Global,3/31/2022,4/1/2022,3,45,0,0,2,,2,,,,Unavailable,0
17,NetClaim Multiskill - Global,3/31/2022,4/1/2022,4,0,0,0,2,,2,,,,Unavailable,0
18,NetClaim Multiskill - Global,3/31/2022,4/1/2022,4,15,0,0,1,,1,,,,Unavailable,0
19,NetClaim Multiskill - Global,3/31/2022,4/1/2022,4,30,0,0,2,,2,,,,Unavailable,0
20,NetClaim Multiskill - Global,3/31/2022,4/1/2022,4,45,1.49,1.49,2,,0.51,,,,Unavailable,0
21,NetClaim Multiskill - Global,3/31/2022,4/1/2022,5,0,1.11,1.11,1,,-0.11,,,,Unavailable,0
22,NetClaim Multiskill - Global,3/31/2022,4/1/2022,5,15,2.23,2.23,2,,-0.23,,,,Unavailable,0
23,NetClaim Multiskill - Global,3/31/2022,4/1/2022,5,30,0,0,2,,2,,,,Unavailable,0
24,NetClaim Multiskill - Global,3/31/2022,4/1/2022,5,45,0,0,4,,4,,,,Unavailable,0
25,NetClaim Multiskill - Global,3/31/2022,4/1/2022,6,0,0,0,5,,5,,,,Unavailable,0
26,NetClaim Multiskill - Global,3/31/2022,4/1/2022,6,15,2.23,2.23,4.67,,2.44,,,,Unavailable,0
27,NetClaim Multiskill - Global,3/31/2022,4/1/2022,6,30,2,2,4,,2,,,,Unavailable,0
