PRI_INDEX,ROUTING_SET,START_TIME,STOP_TIME,HOUR,MINUTE,Req w/ Unp,Req,Sch,Schedule Tally Delta,Net,APS,Dev,Adh,Status,Lock
1,NetClaim Multiskill - Global,3/31/2022,4/1/2022,0,0,7.01,7.01,7,,-0.01,,,,Unavailable,0
2,NetClaim Multiskill - Global,3/31/2022,4/1/2022,0,15,3.01,3.01,7,,3.99,,,,Unavailable,0
3,NetClaim Multiskill - Global,3/31/2022,4/1/2022,0,30,4.45,4.45,6.67,,2.22,,,,Unavailable,0
4,NetClaim Multiskill - Global,3/31/2022,4/1/2022,0,45,6,6,6,,0,,,,Unavailable,0
5,NetClaim Multiskill - Global,3/31/2022,4/1/2022,1,0,3.01,3.01,6,,2.99,,,,Unavailable,0
6,NetClaim Multiskill - Global,3/31/2022,4/1/2022,1,15,1.7,1.7,6,,4.3,,,,Unavailable,0
7,NetClaim Multiskill - Global,3/31/2022,4/1/2022,1,30,3.01,3.01,6,,2.99,,,,Unavailable,0
8,NetClaim Multiskill - Global,3/31/2022,4/1/2022,1,45,3.01,3.01,6,,2.99,,,,Unavailable,0
9,NetClaim Multiskill - Global,3/31/2022,4/1/2022,2,0,3.01,3.01,6,,2.99,,,,Unavailable,0
10,NetClaim Multiskill - Global,3/31/2022,4/1/2022,2,15,0,0,6,,6,,,,Unavailable,0
11,NetClaim Multiskill - Global,3/31/2022,4/1/2022,2,30,3.01,3.01,6,,2.99,,,,Unavailable,0
12,NetClaim Multiskill - Global,3/31/2022,4/1/2022,2,45,3.01,3.01,6,,2.99,,,,Unavailable,0
13,NetClaim Multiskill - Global,3/31/2022,4/1/2022,3,0,3.01,3.01,6,,2.99,,,,Unavailable,0
14,NetClaim Multiskill - Global,3/31/2022,4/1/2022,3,15,3.01,3.01,6,,2.99,,,,Unavailable,0
15,NetClaim Multiskill - Global,3/31/2022,4/1/2022,3,30,0,0,6,,6,,,,Unavailable,0
16,NetClaim Multiskill - Global,3/31/2022,4/1/2022,3,45,3.73,3.73,7,,3.27,,,,Unavailable,0
17,NetClaim Multiskill - Global,3/31/2022,4/1/2022,4,0,2.57,2.57,7,,4.43,,,,Unavailable,0
18,NetClaim Multiskill - Global,3/31/2022,4/1/2022,4,15,2.57,2.57,6,,3.43,,,,Unavailable,0
19,NetClaim Multiskill - Global,3/31/2022,4/1/2022,4,30,2.57,2.57,7,,4.43,,,,Unavailable,0
20,NetClaim Multiskill - Global,3/31/2022,4/1/2022,4,45,2.57,2.57,6.33,,3.76,,,,Unavailable,0
21,NetClaim Multiskill - Global,3/31/2022,4/1/2022,5,0,2.57,2.57,4.67,,2.1,,,,Unavailable,0
22,NetClaim Multiskill - Global,3/31/2022,4/1/2022,5,15,3.73,3.73,4,,0.27,,,,Unavailable,0
23,NetClaim Multiskill - Global,3/31/2022,4/1/2022,5,30,2.57,2.57,5,,2.43,,,,Unavailable,0
