PRI_INDEX,ROUTING_SET,START_TIME,STOP_TIME,HOUR,MINUTE,Req w/ Unp,Req,Sch,Schedule Tally Delta,Net,APS,Dev,Adh,Status,Lock
1,NetClaim Multiskill - Global,3/25/2022,3/26/2022,0,0,0.06,0.06,2,,1.94,,,,Unavailable,0
2,NetClaim Multiskill - Global,3/25/2022,3/26/2022,0,15,0,0,1.67,,1.67,,,,Unavailable,0
3,NetClaim Multiskill - Global,3/25/2022,3/26/2022,0,30,0,0,1,,1,,,,Unavailable,0
4,NetClaim Multiskill - Global,3/25/2022,3/26/2022,0,45,0.1,0.1,1,,0.9,,,,Unavailable,0
5,NetClaim Multiskill - Global,3/25/2022,3/26/2022,1,0,0.05,0.05,2,,1.95,,,,Unavailable,0
6,NetClaim Multiskill - Global,3/25/2022,3/26/2022,1,15,2,2,2,,0,,,,Unavailable,0
7,NetClaim Multiskill - Global,3/25/2022,3/26/2022,1,30,0,0,2,,2,,,,Unavailable,0
8,NetClaim Multiskill - Global,3/25/2022,3/26/2022,1,45,0,0,1,,1,,,,Unavailable,0
9,NetClaim Multiskill - Global,3/25/2022,3/26/2022,2,0,0,0,1,,1,,,,Unavailable,0
10,NetClaim Multiskill - Global,3/25/2022,3/26/2022,2,15,1,1,1,,0,,,,Unavailable,0
11,NetClaim Multiskill - Global,3/25/2022,3/26/2022,2,30,0,0,1,,1,,,,Unavailable,0
12,NetClaim Multiskill - Global,3/25/2022,3/26/2022,2,45,0,0,2,,2,,,,Unavailable,0
13,NetClaim Multiskill - Global,3/25/2022,3/26/2022,3,0,0,0,1,,1,,,,Unavailable,0
14,NetClaim Multiskill - Global,3/25/2022,3/26/2022,3,15,0,0,2,,2,,,,Unavailable,0
15,NetClaim Multiskill - Global,3/25/2022,3/26/2022,3,30,0,0,2,,2,,,,Unavailable,0
16,NetClaim Multiskill - Global,3/25/2022,3/26/2022,3,45,0,0,2,,2,,,,Unavailable,0
17,NetClaim Multiskill - Global,3/25/2022,3/26/2022,4,0,0,0,2,,2,,,,Unavailable,0
18,NetClaim Multiskill - Global,3/25/2022,3/26/2022,4,15,0,0,2,,2,,,,Unavailable,0
19,NetClaim Multiskill - Global,3/25/2022,3/26/2022,4,30,0,0,2,,2,,,,Unavailable,0
20,NetClaim Multiskill - Global,3/25/2022,3/26/2022,4,45,0,0,2,,2,,,,Unavailable,0
