"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
1,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,0,2.76,3,,0.24
2,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,15,4.02,3,,-1.02
3,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,30,2.71,3,,0.29
4,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,45,2.1,2.2,,0.1
5,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,0,2.71,3,,0.29
6,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,15,2.71,2,,-0.71
7,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,30,0,2,,2
8,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,45,2.71,2,,-0.71
9,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,0,0,3,,3
10,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,15,0,3,,3
11,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,30,0,2,,2
12,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,45,0,3,,3
13,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,0,0,3,,3
14,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,15,0,3,,3
15,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,30,0,3,,3
16,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,45,2.71,3,,0.29
17,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,0,1.23,1.67,,0.44
18,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,15,0,2,,2
19,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,30,0,2,,2
20,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,45,0,2,,2
21,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,0,0,1,,1
22,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,15,2.23,1.27,,-0.96
23,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,30,0,1.67,,1.67
24,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,45,2.23,4.67,,2.44
25,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,0,1.92,5,,3.08
26,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,15,2.23,5,,2.77
27,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,30,2.23,5,,2.77
28,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,45,3.22,3,,-0.22
29,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,0,3.22,6,,2.78
30,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,15,4.12,6,,1.88
31,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,30,4.98,6,,1.02
32,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,45,4.65,5,,0.35
33,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,0,7.69,7.6,,-0.09
34,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,15,8.63,8,,-0.63
35,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,30,9.56,10,,0.44
36,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,45,10.49,12,,1.51
37,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,0,12.83,15,,2.17
38,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,15,14.11,13.73,,-0.38
39,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,30,15.89,15.67,,-0.22
40,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,45,16.78,18,,1.22
41,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,0,15.22,15.93,,0.71
42,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,15,20.06,18,,-2.06
43,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,30,16.93,17.47,,0.54
44,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,45,21.02,21.33,,0.31
45,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,0,20.47,20.47,,0
46,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,15,16.05,16.6,,0.55
47,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,30,21.97,21.67,,-0.3
48,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,45,22.93,21.87,,-1.06
49,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,12,0,22.93,22.07,,-0.86
50,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,12,15,22.93,21.87,,-1.06
51,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,12,30,14,14,,0
52,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,12,45,16.17,17,,0.83
53,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,13,0,17.87,17.87,,0
54,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,13,15,20,20,,0
55,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,13,30,22.8,22.8,,0
56,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,13,45,19.35,20.6,,1.25
57,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,14,0,16.73,16.73,,0
58,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,14,15,19,19,,0
59,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,14,30,20,20,,0
60,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,14,45,18,18,,0
61,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,15,0,17,17,,0
62,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,15,15,17,17,,0
63,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,15,30,18.67,18.67,,0
64,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,15,45,20.61,21,,0.39
