"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
1,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,0,1.56,4,,2.44
2,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,15,4.45,5,,0.55
3,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,30,3.01,3.67,,0.66
4,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,45,3.01,4,,0.99
5,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,0,3.01,4,,0.99
6,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,15,3.01,3,,-0.01
7,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,30,0,4,,4
8,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,45,3.01,3,,-0.01
9,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,0,0,4,,4
10,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,15,0,4,,4
11,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,30,0,3,,3
12,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,45,0,3,,3
13,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,0,0,3,,3
14,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,15,0,4,,4
15,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,30,0,3,,3
16,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,45,2.57,3,,0.43
17,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,0,2.57,4,,1.43
18,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,15,0,4,,4
19,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,30,0,4,,4
20,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,45,0,4,,4
21,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,0,2.57,3,,0.43
22,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,15,2.57,3.33,,0.76
23,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,30,2.57,4,,1.43
24,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,45,3.73,5,,1.27
25,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,0,3.73,6,,2.27
26,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,15,3.73,6,,2.27
27,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,30,5.79,9,,3.21
28,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,45,5.79,10.6,,4.81
29,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,0,8.88,15,,6.12
30,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,15,9.83,16,,6.17
31,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,30,12.61,17,,4.39
32,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,45,14.43,18,,3.57
33,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,0,15.33,25,,9.67
34,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,15,17.12,25.33,,8.21
35,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,30,23.36,26.67,,3.31
36,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,45,26.37,30.27,,3.9
37,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,0,27.36,43,,15.64
38,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,15,31.34,44,,12.66
39,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,30,37.67,44,,6.33
40,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,45,38.8,43,,4.2
41,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,0,38.12,42.73,,4.61
42,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,15,41.04,44,,2.96
43,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,30,43.61,42.93,,-0.68
44,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,45,44.74,45,,0.26
45,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,0,45.86,44,,-1.86
46,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,15,36.13,36.13,,0
47,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,30,43.61,48,,4.39
48,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,45,44.74,51,,6.26
49,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,12,0,43.61,49,,5.39
50,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,12,15,45.86,50.87,,5.01
51,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,12,30,45.86,49.93,,4.07
