"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
1,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,0,1.56,4,,2.44
2,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,15,0.34,3.67,,3.33
3,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,30,0,3,,3
4,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,0,45,1.91,2,,0.09
5,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,0,0,3,,3
6,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,15,0,3,,3
7,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,30,0,3,,3
8,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,1,45,0,3,,3
9,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,0,0,2,,2
10,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,15,0,3,,3
11,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,30,0,3,,3
12,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,2,45,0,3,,3
13,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,0,0,2,,2
14,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,15,0,2,,2
15,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,30,0,2,,2
16,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,3,45,0.18,2,,1.82
17,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,0,1.48,2,,0.52
18,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,15,0,2,,2
19,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,30,0,2,,2
20,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,4,45,0,2,,2
21,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,0,0,1,,1
22,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,15,0,2,,2
23,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,30,0,2,,2
24,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,5,45,0,2,,2
25,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,0,0.31,0.8,,0.49
26,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,15,0,2,,2
27,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,30,0,2,,2
28,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,6,45,0,2,,2
29,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,0,0,5,,5
30,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,15,0,4.67,,4.67
31,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,30,0.46,5,,4.54
32,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,7,45,1.17,6,,4.83
33,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,0,0.58,8,,7.42
34,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,15,0.81,8,,7.19
35,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,30,0.89,6,,5.11
36,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,8,45,1.29,10,,8.71
37,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,0,0.87,10,,9.13
38,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,15,1.63,11,,9.37
39,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,30,2.08,9.93,,7.85
40,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,9,45,2.25,13,,10.75
41,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,0,2.53,13,,10.47
42,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,15,2.47,16,,13.53
43,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,30,4.26,16,,11.74
44,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,10,45,2.41,14.27,,11.86
45,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,0,4.21,14,,9.79
46,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,15,6.6,14,,7.4
47,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,30,2.56,14,,11.44
48,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,11,45,3.2,15,,11.8
49,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,12,0,3.46,15,,11.54
50,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,12,15,2.98,14,,11.02
51,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,12,30,8.9,11,,2.1
52,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,12,45,7.64,12,,4.36
53,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,13,0,2.9,14,,11.1
54,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,13,15,4.11,15,,10.89
55,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,13,30,2.54,17,,14.46
56,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,13,45,12.76,15,,2.24
57,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,14,0,6.37,12,,5.63
58,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,14,15,4.85,18,,13.15
59,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,14,30,6.96,18.67,,11.71
60,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,14,45,6.44,16,,9.56
61,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,15,0,7.38,15,,7.62
62,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,15,15,3.3,14.67,,11.37
63,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,15,30,9.49,13,,3.51
64,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,15,45,8.09,15.33,,7.24
65,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,16,0,4.39,13.6,,9.21
66,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,16,15,4.91,15.67,,10.76
67,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,16,30,2.94,15,,12.06
68,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,16,45,4.38,14.53,,10.15
69,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,17,0,7.43,12.33,,4.9
70,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,17,15,6.16,13.93,,7.77
71,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,17,30,5.82,13.73,,7.91
72,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,17,45,5.81,11.33,,5.52
73,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,18,0,4.4,9.67,,5.27
74,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,18,15,1.69,5.67,,3.98
75,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,18,30,1.44,6.33,,4.89
76,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,18,45,1.24,5.67,,4.43
77,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,19,0,1.03,6,,4.97
78,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,19,15,2.89,6,,3.11
79,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,19,30,2.8,5.67,,2.87
80,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,19,45,3.57,4,,0.43
81,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,20,0,0.58,3.8,,3.22
82,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,20,15,0.83,5,,4.17
83,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,20,30,0.88,5,,4.12
84,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,20,45,2.16,3.67,,1.51
85,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,21,0,1.47,4,,2.53
86,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,21,15,3.67,4,,0.33
87,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,21,30,0.47,5,,4.53
88,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,21,45,3.07,5,,1.93
89,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,22,0,0,4,,4
90,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,22,15,0,4,,4
91,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,22,30,2.94,5,,2.06
92,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,22,45,2.44,3.67,,1.23
93,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,23,0,1.86,6,,4.14
94,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,23,15,2.47,6,,3.53
95,"NetClaim Multiskill - Global",3/1/2022,3/2/2022,23,30,4.05,6,,1.95
