"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
1,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,0,4.57,2,,-2.57
2,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,15,1.67,1.67,,0
3,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,30,1,1,,0
4,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,45,3.08,1,,-2.08
5,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,0,4.57,1,,-3.57
6,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,15,1,1,,0
7,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,30,0,1,,1
8,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,45,0,1,,1
9,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,0,0,0,,0
10,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,15,0,0,,0
11,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,30,0,0,,0
12,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,45,0,0,,0
13,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,0,1,1,,0
14,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,15,1,1,,0
15,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,30,0,1,,1
16,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,45,2.68,1,,-1.68
17,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,0,1,1,,0
18,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,15,0,1,,1
19,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,30,2.68,1,,-1.68
20,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,45,1,1,,0
21,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,5,0,0,2,,2
