"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
1,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,0,4.14,6,,1.86
2,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,15,5.34,8,,2.66
3,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,30,4.14,8,,3.86
4,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,45,5.34,8,,2.66
5,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,0,2.82,10,,7.18
6,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,15,0,10,,10
7,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,30,0,10,,10
8,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,45,4.14,10,,5.86
9,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,0,0,10,,10
10,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,15,2.82,7,,4.18
11,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,30,2.82,7,,4.18
12,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,45,0,7,,7
13,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,0,0,7,,7
14,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,15,0,7,,7
15,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,30,0,10,,10
16,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,45,0,10,,10
17,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,0,0,10,,10
18,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,15,0,10,,10
19,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,30,0,10,,10
20,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,45,2.57,9.33,,6.76
21,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,5,0,0,6.67,,6.67
22,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,5,15,2.57,5,,2.43
23,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,5,30,0,8,,8
24,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,5,45,2.57,5.33,,2.76
25,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,6,0,2.57,6,,3.43
26,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,6,15,3.73,6,,2.27
27,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,6,30,0,6,,6
28,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,6,45,2.57,6,,3.43
29,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,7,0,0,7,,7
30,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,7,15,2.62,7,,4.38
31,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,7,30,0,7,,7
32,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,7,45,5.95,9,,3.05
33,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,8,0,3.83,8,,4.17
34,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,8,15,6.95,7.33,,0.38
35,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,8,30,7.72,7,,-0.72
36,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,8,45,8.67,8,,-0.67
37,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,9,0,7.59,8,,0.41
38,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,9,15,10.77,10,,-0.77
39,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,9,30,10.83,12,,1.17
40,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,9,45,10.77,12,,1.23
41,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,10,0,10.77,11,,0.23
42,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,10,15,10.77,10,,-0.77
43,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,10,30,10.77,12,,1.23
44,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,10,45,12.84,13,,0.16
45,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,11,0,13.86,14,,0.14
46,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,11,15,13.85,14,,0.15
47,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,11,30,12.69,13,,0.31
