"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
1,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,0,1.22,5,,3.78
2,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,15,2.46,3.67,,1.21
3,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,30,3.64,4,,0.36
4,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,0,45,0,3,,3
5,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,0,0,3,,3
6,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,15,1.76,3,,1.24
7,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,30,0,3,,3
8,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,1,45,3.08,4,,0.92
9,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,0,3.92,2,,-1.92
10,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,15,2.68,2,,-0.68
11,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,30,2.68,1,,-1.68
12,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,2,45,2.68,1,,-1.68
13,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,0,1.65,4,,2.35
14,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,15,0.99,4,,3.01
15,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,30,0,4,,4
16,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,3,45,0,4,,4
17,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,0,1.34,4,,2.66
18,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,15,0.22,4,,3.78
19,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,30,0,4,,4
20,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,4,45,1.63,4,,2.37
21,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,5,0,0.02,4,,3.98
22,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,5,15,0,3,,3
23,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,5,30,0,4,,4
24,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,5,45,0,2,,2
25,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,6,0,0,4,,4
26,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,6,15,2.56,4,,1.44
27,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,6,30,2.71,4,,1.29
28,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,6,45,0,3,,3
29,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,7,0,0.96,4,,3.04
30,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,7,15,0,3.67,,3.67
31,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,7,30,0,6,,6
32,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,7,45,0,5,,5
33,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,8,0,0,3,,3
34,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,8,15,0,3,,3
35,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,8,30,1.75,3,,1.25
36,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,8,45,1.25,3,,1.75
37,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,9,0,0,4,,4
38,"NetClaim Multiskill - Global",11/12/2022,11/13/2022,9,15,1.6,4,,2.4
